ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
80747,357,13,17,55,10,5,23,1,2,-1.1955159,0.056818184,0.13402061,0.034615386,0.16525424,0.013071896,0.22222222,0
80749,233,37,81,1,23,80,26,1,86,-0.40673333,0.19823788,0.016393442,0.055248618,0.38028169,0.10084034,0.23529412,0
80750,261,28,4,1,58,1,53,91,83,-0.6889711,0.03065134,0,0.11351351,0.36619717,0,0.34065935,0.08791209
80751,18318,60,57,34,59,70,61,74,50,0.26788151,0.13004355,0.10028069,0.11491063,0.28351256,0.07986518,0.37514654,0.041178193
80754,189,15,18,3,8,37,38,75,81,-1.1247597,0.05820106,0.034482758,0.030303031,0.35714287,0.04225352,0.28169015,0.04225352
80755,101,26,1,1,1,1,93,95,100,-0.74503911,0,0,0,0.62,0,0.63636363,0.12121212
80757,194,20,41,1,7,3,78,1,1,-0.96205431,0.097938143,0,0.02919708,0.12612613,0.009345794,0.47663552,0
80758,3657,67,69,61,72,66,54,60,33,0.48163357,0.15933147,0.14399999,0.14827017,0.25390625,0.072972976,0.34594595,0.027702702
80759,4638,50,52,75,54,22,39,81,8,-0.012826618,0.11836734,0.17299271,0.10497238,0.19924812,0.029983342,0.28484175,0.052748471
80801,140,6,6,8,52,14,2,1,2,-1.5051138,0.035714287,0.057142857,0.10126583,0.15652174,0.02247191,0.067415729,0
80802,268,38,66,1,37,1,57,1,83,-0.37530187,0.15298508,0,0.076433122,0.36507937,0,0.35632184,0
80804,287,35,50,31,24,75,54,1,38,-0.47221076,0.11498258,0.096774191,0.056994818,0.26241136,0.089430891,0.34146342,0
80805,437,8,4,11,51,4,3,10,3,-1.4062805,0.029748283,0.062015504,0.1,0.1773399,0.010695187,0.085561499,0.005347594
80807,4576,37,8,45,63,75,62,21,65,-0.40641096,0.039335452,0.11691542,0.12595771,0.31232876,0.087837838,0.3795045,0.010135135
80808,5873,20,12,15,32,25,26,60,48,-0.93263757,0.047862373,0.071012802,0.067748092,0.27939144,0.031870671,0.23510392,0.027713627
80809,1102,19,67,4,1,5,7,1,34,-0.9869839,0.15510949,0.043333333,0.0077951,0.25454545,0.012612613,0.13513513,0
80810,1241,35,40,11,50,34,43,1,68,-0.47505176,0.096059114,0.062937066,0.097762071,0.31903484,0.039920159,0.3013972,0
80812,251,35,58,16,80,1,16,43,30,-0.45309424,0.13147411,0.073170729,0.17857143,0.24840765,0,0.18691589,0.018691588
80813,1411,52,64,18,21,56,72,44,86,0.050189473,0.1472754,0.075657897,0.051839463,0.38021979,0.060522698,0.43328747,0.019257221
80814,3570,24,52,23,11,1,5,65,92,-0.81184691,0.11809903,0.084181316,0.03635722,0.41397849,0,0.11452335,0.031989764
80815,784,24,29,12,26,65,46,11,45,-0.82180572,0.076530613,0.064814813,0.05912162,0.27450982,0.071428575,0.31043956,0.005494506
80816,6371,8,24,7,6,4,4,1,78,-1.4112235,0.068679124,0.052603614,0.027426571,0.3487753,0.010372647,0.098732233,0
80817,30635,34,31,44,25,10,49,72,74,-0.49344072,0.079147041,0.11583984,0.058177769,0.33657217,0.018367346,0.32147717,0.039455783
80818,412,6,12,9,44,1,5,1,1,-1.5199128,0.048543688,0.05882353,0.087136932,0.13907285,0,0.11688311,0
80819,784,22,21,81,22,1,46,1,88,-0.86641562,0.063172042,0.18934911,0.053285968,0.39307535,0,0.3126615,0
80820,882,1,20,4,3,1,1,1,25,-1.8071661,0.06122449,0.040462427,0.020539153,0.2389937,0,0,0
80821,1101,24,55,4,34,10,24,6,68,-0.80246091,0.1255102,0.043668121,0.071111113,0.3211382,0.018469658,0.22691293,0.002638523
80822,243,26,65,6,7,47,19,1,8,-0.74248123,0.14814815,0.051282052,0.029999999,0.20134228,0.051282052,0.20512821,0
80823,198,33,77,2,1,1,14,87,97,-0.52683771,0.18686868,0.02,0.00877193,0.48314607,0,0.1754386,0.070175439
80824,203,26,92,11,22,4,10,1,37,-0.75093597,0.27093595,0.0625,0.052980132,0.26041666,0.010204081,0.15306123,0
80825,461,16,35,10,19,10,28,27,60,-1.1070111,0.086167797,0.061403509,0.049469966,0.30204082,0.018633541,0.24223602,0.01242236
80827,696,17,50,1,2,60,1,57,76,-1.075314,0.11494253,0,0.014705882,0.34341252,0.06514658,0,0.026058631
80828,3605,57,64,51,47,79,59,1,100,0.19418167,0.14548802,0.12783505,0.091973819,0.75935829,0.096324459,0.36755386,0
80829,6138,20,18,4,7,28,67,20,45,-0.96425724,0.057836428,0.042352941,0.028602621,0.27391976,0.035170414,0.40717912,0.009789703
80830,189,8,46,1,1,1,12,1,3,-1.4086885,0.1058201,0,0,0.1724138,0,0.16455697,0
80831,25525,6,7,14,9,11,5,47,50,-1.5080341,0.039019216,0.068587303,0.032397002,0.28192648,0.019168934,0.11241652,0.02065298
80832,732,13,27,13,29,2,17,1,76,-1.2211783,0.073770493,0.066350713,0.063829787,0.34128878,0.003367003,0.1952862,0
80833,686,18,61,1,41,3,5,1,81,-1.0290935,0.13848397,0,0.081871346,0.35843372,0.007380074,0.11070111,0
80834,284,32,67,69,14,1,29,1,16,-0.559843,0.15492958,0.15853658,0.042056076,0.22222222,0,0.24712643,0
80835,971,53,24,97,47,70,59,82,75,0.058529638,0.067940556,0.28417265,0.092105262,0.33856893,0.079234973,0.36885247,0.054644808
80836,1157,41,29,88,45,12,62,47,44,-0.28515929,0.076048948,0.21451104,0.08908046,0.27287066,0.020594966,0.38215104,0.020594966
80840,6512,38,31,70,4,1,100,36,95,-0.37743396,0.080543429,0.15992971,0.023829788,0.44315991,0,1,0.015898252
80860,566,18,38,4,1,17,40,56,36,-1.016776,0.092198581,0.039215688,0.008547009,0.25839794,0.025,0.28749999,0.025
80861,288,29,89,1,2,1,2,83,13,-0.64837855,0.23958333,0,0.015957447,0.21568628,0,0.078431375,0.05882353
80862,48,16,64,1,35,1,1,1,88,-1.0870084,0.14583333,0,0.073170729,0.3888889,0,0,0
80863,13034,16,29,17,4,3,16,57,34,-1.1043572,0.075883254,0.074711099,0.023214657,0.25460556,0.009087394,0.18793504,0.02571539
80864,1489,27,44,1,58,14,29,10,37,-0.70732313,0.10342512,0.017199017,0.11392405,0.26103285,0.022108844,0.24659865,0.005102041
80902,12443,56,58,41,14,34,100,39,100,0.15259564,0.13324149,0.11123388,0.041264858,0.59878981,0.039524309,0.9958027,0.016789086
80903,16248,79,82,80,35,87,90,46,70,0.89673811,0.20271668,0.18533202,0.073191017,0.32605097,0.12995067,0.60126847,0.020295983
80904,20168,54,59,52,37,67,72,17,38,0.098880321,0.13525143,0.12856577,0.076543979,0.26204985,0.074245252,0.43485102,0.008358738
80905,16237,64,65,80,31,74,80,36,25,0.40057945,0.14748915,0.18470255,0.0662347,0.23966628,0.086869225,0.49163431,0.015794406
80906,37608,38,37,36,29,32,62,49,73,-0.38037086,0.091109656,0.10455868,0.063610598,0.33426273,0.038037777,0.38359129,0.021642182
80907,29247,60,63,59,31,59,75,55,39,0.26941827,0.143839,0.14035088,0.06626448,0.26373062,0.064204454,0.45363876,0.02493377
80908,18505,3,1,13,16,3,2,14,44,-1.6953729,0.018031189,0.066704676,0.045318928,0.27191457,0.00872954,0.07622759,0.007014809
80909,38382,78,72,84,47,85,83,77,47,0.86013913,0.16974975,0.1968044,0.091769263,0.27803728,0.12125702,0.5155893,0.044946596
80910,31445,91,87,94,66,65,89,92,77,1.3386648,0.22914834,0.25129014,0.13308862,0.34601176,0.071137704,0.58372808,0.093908422
80911,36255,26,33,42,28,9,20,29,71,-0.75762618,0.083564378,0.11288955,0.062088028,0.32641095,0.017043069,0.20829485,0.013265049
80913,3728,18,1,60,1,1,100,1,85,-1.0224733,0,0.14117648,0.010796221,0.375,0,1,0
80914,455,19,1,65,1,1,100,1,99,-0.99933916,0,0.15151516,0,0.52830189,0,1,0
80915,21548,39,39,66,24,16,47,80,25,-0.3399356,0.094189405,0.15278783,0.05709523,0.23995711,0.024641903,0.31633893,0.051104639
80916,41018,85,85,86,69,34,82,88,68,1.0877683,0.21660738,0.20567735,0.14189917,0.31960669,0.039908782,0.50477481,0.076254278
80917,31056,48,41,69,18,57,70,37,43,-0.08253324,0.098646723,0.15879942,0.048488844,0.2698372,0.061138768,0.42369321,0.016179215
80918,48965,42,40,43,17,43,68,54,40,-0.26328391,0.095064916,0.11387812,0.046167221,0.26489985,0.04753004,0.41116154,0.024138851
80919,28039,15,26,22,3,5,31,33,48,-1.1296731,0.070824072,0.083044089,0.018375434,0.27941507,0.012863733,0.25505677,0.01446061
80920,40016,13,15,19,5,7,39,47,47,-1.2166506,0.053145554,0.078371696,0.026013801,0.27662745,0.015462427,0.28583816,0.020736994
80921,24087,9,21,9,3,10,25,14,48,-1.3634418,0.063869603,0.059169855,0.020382406,0.27879936,0.018585622,0.22992402,0.006779661
80922,29417,19,18,53,7,6,33,38,21,-0.99315131,0.058880012,0.12987852,0.028691133,0.23150256,0.014043825,0.26005977,0.016533865
80923,30283,11,10,30,8,3,34,46,26,-1.2671316,0.044071283,0.094587632,0.031952601,0.24173661,0.008455467,0.26709884,0.019917324
80924,10138,9,5,29,1,3,31,24,47,-1.3865699,0.035115406,0.092936806,0.013462849,0.27717757,0.007844368,0.25509885,0.010982115
